iter	Passed	Remaining
780	1015	284
781	1016	283
782	1017	281
783	1018	280
784	1019	279
785	1020	277
786	1021	276
787	1022	275
788	1023	273
789	1024	272
790	1025	270
791	1026	269
792	1027	268
793	1028	266
794	1029	265
795	1030	264
796	1031	262
797	1032	261
798	1033	259
799	1034	258
800	1035	257
801	1036	255
802	1037	254
803	1038	253
804	1039	251
805	1040	250
806	1041	249
807	1042	247
808	1043	246
809	1044	245
810	1045	243
811	1046	242
812	1047	240
813	1048	239
814	1049	238
815	1050	236
816	1051	235
817	1052	234
818	1053	232
819	1054	231
820	1055	230
821	1056	228
822	1057	227
823	1058	226
824	1059	224
825	1060	223
826	1061	222
827	1062	220
828	1063	219
829	1064	218
830	1065	216
831	1066	215
832	1067	214
833	1068	212
834	1069	211
835	1070	210
836	1071	208
837	1072	207
838	1073	205
839	1074	204
840	1075	203
841	1076	201
842	1077	200
843	1078	199
844	1079	198
845	1080	196
846	1081	195
847	1082	194
848	1083	192
849	1084	191
850	1085	190
851	1086	188
852	1087	187
853	1088	186
854	1089	184
855	1089	183
856	1090	182
857	1091	180
858	1092	179
859	1093	178
860	1094	176
861	1095	175
862	1096	174
863	1097	172
864	1098	171
865	1099	170
866	1099	168
867	1100	167
868	1101	166
869	1102	164
870	1103	163
871	1104	162
872	1105	160
873	1105	159
874	1106	158
875	1107	156
876	1108	155
877	1109	154
878	1110	152
879	1111	151
880	1112	150
881	1113	148
882	1113	147
883	1114	146
884	1115	144
885	1116	143
886	1117	142
887	1118	141
888	1119	139
889	1119	138
890	1120	137
891	1121	135
892	1122	134
893	1123	133
894	1124	131
895	1125	130
896	1126	129
897	1127	128
898	1127	126
899	1128	125
900	1129	124
901	1130	122
902	1131	121
903	1132	120
904	1133	118
905	1134	117
906	1134	116
907	1135	115
908	1137	113
909	1138	112
910	1139	111
911	1140	110
912	1141	108
913	1142	107
914	1143	106
915	1143	104
916	1144	103
917	1145	102
918	1146	101
919	1147	99
920	1148	98
921	1149	97
922	1149	95
923	1150	94
924	1151	93
925	1152	92
926	1153	90
927	1154	89
928	1155	88
929	1156	87
930	1157	85
931	1158	84
932	1159	83
933	1159	81
934	1160	80
935	1161	79
936	1162	78
937	1163	76
938	1164	75
939	1164	74
940	1165	73
941	1166	71
942	1167	70
943	1168	69
944	1169	68
945	1170	66
946	1171	65
947	1172	64
948	1173	63
949	1174	61
950	1174	60
951	1175	59
952	1176	58
953	1177	56
954	1178	55
955	1179	54
956	1180	53
957	1181	51
958	1182	50
959	1183	49
960	1184	48
961	1185	46
962	1186	45
963	1187	44
964	1187	43
965	1188	41
966	1189	40
967	1190	39
968	1191	38
969	1192	36
970	1193	35
971	1194	34
972	1194	33
973	1195	31
974	1196	30
975	1197	29
976	1198	28
977	1199	26
978	1200	25
979	1201	24
980	1202	23
981	1202	22
982	1203	20
983	1204	19
984	1205	18
985	1206	17
986	1207	15
987	1208	14
988	1209	13
989	1210	12
990	1210	10
991	1211	9
992	1212	8
993	1213	7
994	1214	6
995	1215	4
996	1216	3
997	1217	2
998	1218	1
999	1219	0
